 	Loπi h◊nh NPC	NgÚ hµnh phﬂng ng˘	NgÚ hµnh t n c´ng	Sinh l˘c	TËc ÆÈ di chuy”n 	ThÍi gian phÙc hÂi (sË li÷u)	Duy tr◊ thÍi gian n– tr∏nh (sË li÷u)	Duy tr◊ thÍi gian phﬂng ng˘ (sË li÷u)	ThÍi gian phÙc hÂi (sË li÷u)	NpcResType	Œ‰∆˜◊ ‘¥√˚≥∆	√¸÷–÷µ	Ch› mπng (kh´ng t∏c dÙng) 	N– tr∏nh 	T®ng t n c´ng vÀt l˝	T®ng NÈi c´ng 	Linh hoπt (kh´ng t∏c dÙng) 	Phﬂng thÒ vÀt l˝	Phﬂng ng˘ vÀt l˝ 100%	Phﬂng thÒ nÈi c´ng	NÈi phﬂng 100%	Phπm vi	Loπi AI	Kho∂ng c∏ch thÍi gian xˆ l˝ AI (sË li÷u)	SË hi÷u k¸ n®ng (1)	ßºng c p k¸ n®ng (1)	X∏c xu t k¸ n®ng (1)	X∏c xu t k¸ n®ng (2)	ßºng c p k¸ n®ng (2)	X∏c xu t k¸ n®ng (2)	SË hi÷u k¸ n®ng (3)	ßºng c p k¸ n®ng (3)	X∏c xu t k¸ n®ng (3)	SË hi÷u k¸ n®ng (4)	ßºng c p k¸ n®ng (4)	X∏c xu t k¸ n®ng (4)	Thi’t lÀp file vÀt r¨i	SË l≠Óng vÀt r¨i	C p	Trﬁ kinh nghi÷m 1	Trﬁ kinh nghi÷m 2	ThÍi gian mÁi c´ng k›ch th≠Íng 	Boss?	Chuy”n ÆÈng khi ÆËi thoπi kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	C„ hÂi m∏u kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	BossCfg	M∆c Æﬁnh script ÆËi thoπi ho∆c script tr‰ng th≠¨ng	Bπo k›ch	Bπo th≠¨ng	ChËng bπo k›ch	ChËng bπo th≠¨ng	InitScript
Gi∏o Æ«u70	0	0	0	82096	8	17	10	10	64400	…Ω◊ØΩÃÕ∑70	ø’ ÷	853	100	80	800;880	800;880	0	0	0	0	0	300	5	9	701	2	95	623	1	5							\settings\droprate\npcdropratecj019.ini	1	70	762	762	18	0									
Gi∏o Æ«u80	0	0	0	82796	8	17	10	10	64400	…Ω◊ØΩÃÕ∑80	ø’ ÷	993	100	80	880;968	880;968	0	0	0	0	0	300	5	9	701	2	95	623	1	5							\settings\droprate\npcdropratecj020.ini	1	80	1068	1068	18	0									
Gi∏o Æ«u90	0	0	0	84196	8	17	10	10	64400	…Ω◊ØΩÃÕ∑90	ø’ ÷	1149	100	80	980;1068	980;1068	0	0	0	0	0	300	5	9	701	2	95	623	1	5							\settings\droprate\npcdropratecj021.ini	1	90	1068	1068	18	0									
TÊng nÈi qu∂n30	0	0	0	1353600	16	8	10	10	64400	…Ω◊Øƒ⁄‘∫◊‹π‹30	ø’ ÷	3000	100	50	600;528	400;528	0	0	0	0	0	300	5	9	636	1	100	635	11	100							\settings\droprate\npcdropratecj036.ini	10	30	2040	2040	18	2									
TÊng nÈi qu∂n40	0	0	0	1971000	16	8	10	10	64400	…Ω◊Øƒ⁄‘∫◊‹π‹40	ø’ ÷	3000	100	60	520;632	520;632	0	0	0	0	0	300	5	9	636	1	100	635	11	100							\settings\droprate\npcdropratecj037.ini	10	40	2920	2920	18	2									
TÊng nÈi qu∂n50	0	0	0	1682800	16	8	10	10	64400	…Ω◊Øƒ⁄‘∫◊‹π‹50	ø’ ÷	3000	100	80	2680;2788	2680;2788	0	0	0	0	0	300	5	9	636	1	100	635	11	100							\settings\droprate\npcdropratecj038.ini	10	50	3980	3980	1	2			\settings\npc\boss_setting\…Ω◊Øƒ⁄‘∫◊‹π‹50.ini						
TÊng nÈi qu∂n60	0	0	0	1990800	16	8	10	10	64400	…Ω◊Øƒ⁄‘∫◊‹π‹60	ø’ ÷	3000	100	80	2760;2920	2760;2920	0	0	0	0	0	300	5	9	636	2	100	635	11	100							\settings\droprate\npcdropratecj039.ini	10	60	5780	5780	1	2			\settings\npc\boss_setting\…Ω◊Øƒ⁄‘∫◊‹π‹60.ini						
TÊng nÈi qu∂n70	0	0	0	2438800	16	8	10	10	64400	…Ω◊Øƒ⁄‘∫◊‹π‹70	ø’ ÷	3000	100	80	2901;3020	2901;3020	0	0	0	0	0	300	5	9	636	2	100	635	11	100							\settings\droprate\npcdropratecj040.ini	10	70	7620	7620	1	2			\settings\npc\boss_setting\…Ω◊Øƒ⁄‘∫◊‹π‹70.ini						
TÊng nÈi qu∂n80	0	0	0	2858800	16	8	10	10	64400	…Ω◊Øƒ⁄‘∫◊‹π‹80	ø’ ÷	3000	100	80	3000;3172	3000;3172	0	0	0	0	0	300	5	9	636	3	100	635	11	100							\settings\droprate\npcdropratecj041.ini	10	80	10680	10680	1	2			\settings\npc\boss_setting\…Ω◊Øƒ⁄‘∫◊‹π‹80.ini						
TÊng nÈi qu∂n90	0	0	0	3138800	16	8	10	10	64400	…Ω◊Øƒ⁄‘∫◊‹π‹90	ø’ ÷	3000	100	80	3300;3572	3300;3572	0	0	0	0	0	300	5	9	636	4	100	635	11	100							\settings\droprate\npcdropratecj042.ini	10	90	10680	10680	1	2			\settings\npc\boss_setting\…Ω◊Øƒ⁄‘∫◊‹π‹90.ini						
L∑o bÈc30	0	0	0	66990	8	17	10	10	64400	¿œ≈Æ∆Õ30	ø’ ÷	2000	100	60	360;408	360;408	0	0	0	0	0	300	5	9	701	2	95	603	1	5							\settings\droprate\npcdropratecj022.ini	1	30	292	292	18	0									
L∑o bÈc40	0	0	0	71176	8	17	10	10	64400	¿œ≈Æ∆Õ40	ø’ ÷	2000	100	80	440;540	440;540	0	0	0	0	0	300	5	9	701	2	95	603	1	5							\settings\droprate\npcdropratecj023.ini	1	40	398	398	18	0									
L∑o bÈc50	0	0	0	80136	8	17	10	10	64400	¿œ≈Æ∆Õ50	ø’ ÷	558	100	80	820;900	820;900	0	0	0	0	0	300	5	9	701	2	95	603	1	5							\settings\droprate\npcdropratecj024.ini	1	50	578	578	18	0									
L∑o bÈc60	0	0	0	82096	8	17	10	10	64400	¿œ≈Æ∆Õ60	ø’ ÷	720	100	80	900;980	900;980	0	0	0	0	0	300	5	9	701	2	95	603	1	5							\settings\droprate\npcdropratecj025.ini	1	60	762	762	18	0									
L∑o bÈc70	0	0	0	84196	8	17	10	10	64400	¿œ≈Æ∆Õ70	ø’ ÷	853	100	80	980;1068	980;1068	0	0	0	0	0	300	5	9	701	2	95	603	1	5							\settings\droprate\npcdropratecj026.ini	1	70	1068	1068	18	0									
L∑o bÈc80	0	0	0	84196	8	17	10	10	64400	¿œ≈Æ∆Õ80	ø’ ÷	993	100	80	1080;1168	1080;1168	0	0	0	0	0	300	5	9	701	2	95	603	1	5							\settings\droprate\npcdropratecj027.ini	1	80	1068	1068	18	0									
L∑o bÈc90	0	0	0	84196	8	17	10	10	64400	¿œ≈Æ∆Õ90	ø’ ÷	1149	100	80	1180;1268	1180;1268	0	0	0	0	0	300	5	9	701	2	95	603	1	5							\settings\droprate\npcdropratecj028.ini	1	90	1068	1068	18	0									
ßπi ti”u th≠30	0	0	0	1971000	18	8	10	10	64400	¥Û–°Ω„30	ø’ ÷	3000	100	60	820;632	520;632	0	0	0	0	0	300	5	9	637	2	100	635	14	100							\settings\droprate\npcdropratecj043.ini	10	30	2920	2920	18	2									
ßπi ti”u th≠40	0	0	0	2404000	18	8	10	10	64400	¥Û–°Ω„40	ø’ ÷	3000	100	80	680;788	680;788	0	0	0	0	0	300	5	9	637	2	100	635	14	100							\settings\droprate\npcdropratecj044.ini	10	40	3980	3980	18	2									
ßπi ti”u th≠50	0	0	0	1990800	18	8	10	10	64400	¥Û–°Ω„50	ø’ ÷	3000	100	80	2760;2920	2760;2920	0	0	0	0	0	300	5	9	637	2	100	635	14	100							\settings\droprate\npcdropratecj045.ini	10	50	5780	5780	1	2			\settings\npc\boss_setting\¥Û–°Ω„50.ini						
ßπi ti”u th≠60	0	0	0	2438800	18	8	10	10	64400	¥Û–°Ω„60	ø’ ÷	3000	100	80	2901;3020	2901;3020	0	0	0	0	0	300	5	9	637	2	100	635	14	100							\settings\droprate\npcdropratecj046.ini	10	60	7620	7620	1	2			\settings\npc\boss_setting\¥Û–°Ω„60.ini						
ßπi ti”u th≠70	0	0	0	2858800	18	8	10	10	64400	¥Û–°Ω„70	ø’ ÷	3000	100	80	3000;3172	3000;3172	0	0	0	0	0	300	5	9	637	3	100	635	14	100							\settings\droprate\npcdropratecj047.ini	10	70	10680	10680	1	2			\settings\npc\boss_setting\¥Û–°Ω„70.ini						
ßπi ti”u th≠80	0	0	0	3838800	18	8	10	10	64400	¥Û–°Ω„80	ø’ ÷	3000	100	80	3300;3572	3300;3572	0	0	0	0	0	300	5	9	637	3	100	635	14	100							\settings\droprate\npcdropratecj048.ini	10	80	10680	10680	1	2			\settings\npc\boss_setting\¥Û–°Ω„80.ini						
ßπi ti”u th≠90	0	0	0	4748800	18	8	10	10	64400	¥Û–°Ω„90	ø’ ÷	3000	100	80	3400;3672	3400;3672	0	0	0	0	0	300	5	9	637	4	100	635	14	100							\settings\droprate\npcdropratecj049.ini	10	90	10680	10680	1	2			\settings\npc\boss_setting\¥Û–°Ω„90.ini						
ThÒ v÷30	0	0	0	78176	8	17	10	10	64400	¡¨ª∑⁄˘ ÿŒ¿30	ø’ ÷	2000	100	80	440;540	440;540	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj057.ini	1	30	398	398	18	0									
ThÒ v÷40	0	0	0	80136	8	17	10	10	64400	¡¨ª∑⁄˘ ÿŒ¿40	ø’ ÷	2000	100	80	520;600	520;600	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj058.ini	1	40	578	578	18	0									
ThÒ v÷50	0	0	0	82096	8	17	10	10	64400	¡¨ª∑⁄˘ ÿŒ¿50	ø’ ÷	558	100	80	800;880	800;880	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj059.ini	1	50	762	762	18	0									
ThÒ v÷60	0	0	0	84196	8	17	10	10	64400	¡¨ª∑⁄˘ ÿŒ¿60	ø’ ÷	720	100	80	880;968	880;968	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj060.ini	1	60	1068	1068	18	0									
ThÒ v÷70	0	0	0	112196	8	17	10	10	64400	¡¨ª∑⁄˘ ÿŒ¿70	ø’ ÷	853	100	80	980;1068	980;1068	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj061.ini	1	70	1068	1068	18	0									
ThÒ v÷80	0	0	0	154196	8	17	10	10	64400	¡¨ª∑⁄˘ ÿŒ¿80	ø’ ÷	993	100	80	1080;1168	1080;1168	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj062.ini	1	80	1068	1068	18	0									
ThÒ v÷90	0	0	0	183964	8	17	10	10	64400	¡¨ª∑⁄˘ ÿŒ¿90	ø’ ÷	1149	100	80	1180;1268	1180;1268	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj063.ini	1	90	1068	1068	18	0									
ß÷ tˆ cao c p30	0	0	0	78176	8	17	10	10	64400	∏ﬂº∂…Ω◊Øµ‹◊”30	ø’ ÷	2000	100	80	480;500	480;500	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj050.ini	1	30	398	398	18	0									
ß÷ tˆ cao c p40	0	0	0	80136	8	17	10	10	64400	∏ﬂº∂…Ω◊Øµ‹◊”40	ø’ ÷	2000	100	80	520;600	520;600	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj051.ini	1	40	578	578	18	0									
ß÷ tˆ cao c p50	0	0	0	82096	8	17	10	10	64400	∏ﬂº∂…Ω◊Øµ‹◊”50	ø’ ÷	558	100	80	800;880	800;880	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj052.ini	1	50	762	762	18	0									
ß÷ tˆ cao c p60	0	0	0	84196	8	17	10	10	64400	∏ﬂº∂…Ω◊Øµ‹◊”60	ø’ ÷	720	100	80	880;968	880;968	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj053.ini	1	60	1068	1068	18	0									
ß÷ tˆ cao c p70	0	0	0	112196	8	17	10	10	64400	∏ﬂº∂…Ω◊Øµ‹◊”70	ø’ ÷	853	100	80	980;1068	980;1068	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj054.ini	1	70	1068	1068	18	0									
ß÷ tˆ cao c p80	0	0	0	141960	8	17	10	10	64400	∏ﬂº∂…Ω◊Øµ‹◊”80	ø’ ÷	993	100	80	1080;1168	1080;1168	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj055.ini	1	80	1068	1068	18	0									
ß÷ tˆ cao c p90	0	0	0	182196	8	17	10	10	64400	∏ﬂº∂…Ω◊Øµ‹◊”90	ø’ ÷	1149	100	80	1180;1268	1180;1268	0	0	0	0	0	300	5	9	701	2	90	612	1	10							\settings\droprate\npcdropratecj056.ini	1	90	1068	1068	18	0									
ßπi Trang chÒ30	0	0	0	2404000	20	5	10	10	64400	¥Û◊Ø÷˜30	ø’ ÷	3000	100	80	680;788	680;788	0	0	0	0	0	300	5	9	638	2	100	635	15	100							\settings\droprate\npcdropratecj064.ini	10	30	3980	3980	18	2									
ßπi Trang chÒ40	0	0	0	2844000	20	5	10	10	64400	¥Û◊Ø÷˜40	ø’ ÷	3000	100	80	760;920	760;920	0	0	0	0	0	300	5	9	638	2	100	635	15	100							\settings\droprate\npcdropratecj065.ini	10	40	5780	5780	18	2									
ßπi Trang chÒ50	0	0	0	2438800	20	5	10	10	64400	¥Û◊Ø÷˜50	ø’ ÷	3000	100	80	2901;3020	2901;3020	0	0	0	0	0	300	5	9	638	2	100	635	15	100							\settings\droprate\npcdropratecj066.ini	10	50	7620	7620	1	2			\settings\npc\boss_setting\¥Û◊Ø÷˜50.ini						
ßπi Trang chÒ60	0	0	0	2858800	20	5	10	10	64400	¥Û◊Ø÷˜60	ø’ ÷	3000	100	80	3000;3172	3000;3172	0	0	0	0	0	300	5	9	638	2	100	635	15	100							\settings\droprate\npcdropratecj067.ini	10	60	10680	10680	1	2			\settings\npc\boss_setting\¥Û◊Ø÷˜60.ini						
ßπi Trang chÒ70	0	0	0	3838800	20	5	10	10	64400	¥Û◊Ø÷˜70	ø’ ÷	3000	100	80	3300;3572	3300;3572	0	0	0	0	0	300	5	9	638	2	100	635	15	100							\settings\droprate\npcdropratecj068.ini	10	70	10680	10680	1	2			\settings\npc\boss_setting\¥Û◊Ø÷˜70.ini						
ßπi Trang chÒ80	0	0	0	4748800	20	5	10	10	64400	¥Û◊Ø÷˜80	ø’ ÷	3000	100	80	3400;3672	3400;3672	0	0	0	0	0	300	5	9	638	2	100	635	15	100							\settings\droprate\npcdropratecj069.ini	10	80	10680	10680	1	2			\settings\npc\boss_setting\¥Û◊Ø÷˜80.ini						
ßπi Trang chÒ90	0	0	0	5658800	20	5	10	10	64400	¥Û◊Ø÷˜90	ø’ ÷	3000	100	80	3500;3772	3500;3772	0	0	0	0	0	300	5	9	638	2	100	635	15	100							\settings\droprate\npcdropratecj070.ini	10	90	10680	10680	1	2			\settings\npc\boss_setting\¥Û◊Ø÷˜90.ini						
Kim Ki’m30	0	1	1	80136	8	17	10	10	64400	ΩΩ£30	ø’ ÷	2000	100	80	520;600	520;600	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj071.ini	1	30	578	578	0	0									
Kim Ki’m40	0	1	1	82096	8	17	10	10	64400	ΩΩ£40	ø’ ÷	2000	100	80	600;680	600;680	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj072.ini	1	40	762	762	0	0									
Kim Ki’m50	0	1	1	84196	8	17	10	10	64400	ΩΩ£50	ø’ ÷	2000	100	80	6180;6368	6180;6368	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj073.ini	1	50	1068	1068	0	0									
Kim Ki’m60	0	1	1	112196	8	17	10	10	64400	ΩΩ£60	ø’ ÷	2000	100	80	6380;6468	6380;6468	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj074.ini	1	60	1068	1068	0	0									
Kim Ki’m70	0	1	1	147196	8	17	10	10	64400	ΩΩ£70	ø’ ÷	2000	100	80	6580;6668	6580;6668	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj075.ini	1	70	1068	1068	0	0									
Kim Ki’m80	0	1	1	182196	8	17	10	10	64400	ΩΩ£80	ø’ ÷	2000	100	80	6680;6768	6680;6768	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj076.ini	1	80	1068	1068	0	0									
Kim Ki’m90	0	1	1	217196	8	17	10	10	64400	ΩΩ£90	ø’ ÷	2000	100	80	6780;6868	6780;6868	0	0	0	0	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj077.ini	1	90	1068	1068	0	0									
MÈc Ki’m30	0	2	2	80136	8	17	10	10	64400	ƒæΩ£30	ø’ ÷	2000	100	80	520;600	520;600	0	20	40	20	40	300	5	9	701	2	70	600	15	30							\settings\droprate\npcdropratecj071.ini	1	30	578	578	18	0									
MÈc Ki’m40	0	2	2	82096	8	17	10	10	64400	ƒæΩ£40	ø’ ÷	2000	100	80	600;680	600;680	0	20	40	20	40	300	5	9	701	2	70	600	15	30							\settings\droprate\npcdropratecj072.ini	1	40	762	762	18	0									
MÈc Ki’m50	0	2	2	84196	8	17	10	10	64400	ƒæΩ£50	ø’ ÷	2000	100	80	980;1068	980;1068	0	20	40	20	40	300	5	9	701	2	70	600	20	30							\settings\droprate\npcdropratecj073.ini	1	50	1068	1068	18	0									
MÈc Ki’m60	0	2	2	112196	8	17	10	10	64400	ƒæΩ£60	ø’ ÷	2000	100	80	1080;1168	1080;1168	0	20	40	20	40	300	5	9	701	2	70	600	20	30							\settings\droprate\npcdropratecj074.ini	1	60	1068	1068	18	0									
MÈc Ki’m70	0	2	2	147196	8	17	10	10	64400	ƒæΩ£70	ø’ ÷	2000	100	80	1180;1268	1180;1268	0	20	40	20	40	300	5	9	701	2	70	600	20	30							\settings\droprate\npcdropratecj075.ini	1	70	1068	1068	18	0									
MÈc Ki’m80	0	2	2	182196	8	17	10	10	64400	ƒæΩ£80	ø’ ÷	2000	100	80	1280;1368	1280;1368	0	20	40	20	40	300	5	9	701	2	70	600	20	30							\settings\droprate\npcdropratecj076.ini	1	80	1068	1068	18	0									
MÈc Ki’m90	0	2	2	217196	8	17	10	10	64400	ƒæΩ£90	ø’ ÷	2000	100	80	1380;1468	1380;1468	0	20	40	20	40	300	5	9	701	2	70	600	20	30							\settings\droprate\npcdropratecj077.ini	1	90	1068	1068	18	0									
ThÒy Ki’m30	0	3	3	80136	8	17	10	10	64400	ÀÆΩ£30	ø’ ÷	2000	100	80	520;600	520;600	0	0	0	200	80	300	5	9	637	2	100										\settings\droprate\npcdropratecj071.ini	1	30	578	578	18	0									
ThÒy Ki’m40	0	3	3	82096	8	17	10	10	64400	ÀÆΩ£40	ø’ ÷	2000	100	80	600;680	600;680	0	0	0	200	80	300	5	9	637	2	100										\settings\droprate\npcdropratecj072.ini	1	40	762	762	18	0									
ThÒy Ki’m50	0	3	3	84196	8	17	10	10	64400	ÀÆΩ£50	ø’ ÷	2000	100	80	980;1068	980;1068	0	0	0	200	80	300	5	9	637	2	100										\settings\droprate\npcdropratecj073.ini	1	50	1068	1068	18	0									
ThÒy Ki’m60	0	3	3	112196	8	17	10	10	64400	ÀÆΩ£60	ø’ ÷	2000	100	80	1080;1168	1080;1168	0	0	0	200	80	300	5	9	637	2	100										\settings\droprate\npcdropratecj074.ini	1	60	1068	1068	18	0									
ThÒy Ki’m70	0	3	3	147196	8	17	10	10	64400	ÀÆΩ£70	ø’ ÷	2000	100	80	1180;1268	1180;1268	0	0	0	200	80	300	5	9	637	2	100										\settings\droprate\npcdropratecj075.ini	1	70	1068	1068	18	0									
ThÒy Ki’m80	0	3	3	182196	8	17	10	10	64400	ÀÆΩ£80	ø’ ÷	2000	100	80	1280;1368	1280;1368	0	0	0	200	80	300	5	9	637	2	100										\settings\droprate\npcdropratecj076.ini	1	80	1068	1068	18	0									
ThÒy Ki’m90	0	3	3	217196	8	17	10	10	64400	ÀÆΩ£90	ø’ ÷	2000	100	80	1380;1468	1380;1468	0	0	0	200	80	300	5	9	637	2	100										\settings\droprate\npcdropratecj077.ini	1	90	1068	1068	18	0									
H·a Ki’m30	0	4	4	80136	8	17	10	10	64400	ªΩ£30	ø’ ÷	2000	100	80	520;600	520;600	0	200	80	0	0	300	5	9	701	2	70	623	11	30							\settings\droprate\npcdropratecj071.ini	1	30	578	578	18	0									
H·a Ki’m40	0	4	4	82096	8	17	10	10	64400	ªΩ£40	ø’ ÷	2000	100	80	600;680	600;680	0	200	80	0	0	300	5	9	701	2	70	623	11	30							\settings\droprate\npcdropratecj072.ini	1	40	762	762	18	0									
H·a Ki’m50	0	4	4	84196	8	17	10	10	64400	ªΩ£50	ø’ ÷	2000	100	80	980;1068	980;1068	0	200	80	0	0	300	5	9	701	2	70	623	11	30							\settings\droprate\npcdropratecj073.ini	1	50	1068	1068	18	0									
H·a Ki’m60	0	4	4	112196	8	17	10	10	64400	ªΩ£60	ø’ ÷	2000	100	80	1080;1168	1080;1168	0	200	80	0	0	300	5	9	701	2	70	623	11	30							\settings\droprate\npcdropratecj074.ini	1	60	1068	1068	18	0									
H·a Ki’m70	0	4	4	147196	8	17	10	10	64400	ªΩ£70	ø’ ÷	2000	100	80	1180;1268	1180;1268	0	200	80	0	0	300	5	9	701	2	70	623	11	30							\settings\droprate\npcdropratecj075.ini	1	70	1068	1068	18	0									
H·a Ki’m80	0	4	4	182196	8	17	10	10	64400	ªΩ£80	ø’ ÷	2000	100	80	1280;1368	1280;1368	0	200	80	0	0	300	5	9	701	2	70	623	11	30							\settings\droprate\npcdropratecj076.ini	1	80	1068	1068	18	0									
H·a Ki’m90	0	4	4	217196	8	17	10	10	64400	ªΩ£90	ø’ ÷	2000	100	80	1380;1468	1380;1468	0	200	80	0	0	300	5	9	701	2	70	623	11	30							\settings\droprate\npcdropratecj077.ini	1	90	1068	1068	18	0									
ThÊ Ki’m30	0	5	5	80136	8	17	10	10	64400	Õ¡Ω£30	ø’ ÷	2000	100	80	520;600	520;600	80	200	80	200	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj071.ini	1	30	578	578	18	0									
ThÊ Ki’m40	0	5	5	82096	8	17	10	10	64400	Õ¡Ω£40	ø’ ÷	2000	100	80	600;680	600;680	80	200	80	200	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj072.ini	1	40	762	762	18	0									
ThÊ Ki’m50	0	5	5	84196	8	17	10	10	64400	Õ¡Ω£50	ø’ ÷	2000	100	80	980;1068	980;1068	80	200	80	200	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj073.ini	1	50	1068	1068	18	0									
ThÊ Ki’m60	0	5	5	112196	8	17	10	10	64400	Õ¡Ω£60	ø’ ÷	2000	100	80	1080;1168	1080;1168	80	200	80	200	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj074.ini	1	60	1068	1068	18	0									
ThÊ Ki’m70	0	5	5	147196	8	17	10	10	64400	Õ¡Ω£70	ø’ ÷	2000	100	80	1180;1268	1180;1268	80	200	80	200	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj075.ini	1	70	1068	1068	18	0									
ThÊ Ki’m80	0	5	5	182196	8	17	10	10	64400	Õ¡Ω£80	ø’ ÷	2000	100	80	1280;1368	1280;1368	80	200	80	200	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj076.ini	1	80	1068	1068	18	0									
ThÊ Ki’m90	0	5	5	217196	8	17	10	10	64400	Õ¡Ω£90	ø’ ÷	2000	100	80	1380;1468	1380;1468	80	200	80	200	0	300	5	9	701	2	100										\settings\droprate\npcdropratecj077.ini	1	90	1068	1068	18	0									
TÊng qu∂n Tµng Ki’m30	0	0	0	2844000	20	3	10	10	64400	≤ÿΩ£∏Û◊‹π‹30	ø’ ÷	3000	100	80	760;920	760;920	0	0	0	0	0	300	5	9	701	2	100	635	20	100							\settings\droprate\npcdropratecj078.ini	10	30	5780	5780	18	2									
TÊng qu∂n Tµng Ki’m40	0	0	0	3484000	20	3	10	10	64400	≤ÿΩ£∏Û◊‹π‹40	ø’ ÷	3000	100	80	901;1020	901;1020	0	0	0	0	0	300	5	9	701	2	100	635	20	100							\settings\droprate\npcdropratecj079.ini	10	40	7620	7620	1	2									
TÊng qu∂n Tµng Ki’m50	0	0	0	3084000	20	3	10	10	64400	≤ÿΩ£∏Û◊‹π‹50	ø’ ÷	3000	100	80	3000;3172	3000;3172	0	0	0	0	0	300	5	9	639	3	100	635	20	100							\settings\droprate\npcdropratecj080.ini	10	50	10680	10680	1	2			\settings\npc\boss_setting\≤ÿΩ£∏Û◊‹π‹50.ini						
TÊng qu∂n Tµng Ki’m60	0	0	0	4484000	20	3	10	10	64400	≤ÿΩ£∏Û◊‹π‹60	ø’ ÷	3000	100	80	3300;3572	3300;3572	0	0	0	0	0	300	5	9	639	3	100	635	20	100							\settings\droprate\npcdropratecj081.ini	10	60	10680	10680	1	2			\settings\npc\boss_setting\≤ÿΩ£∏Û◊‹π‹60.ini						
TÊng qu∂n Tµng Ki’m70	0	0	0	5584000	20	3	10	10	64400	≤ÿΩ£∏Û◊‹π‹70	ø’ ÷	3000	100	80	3400;3672	3400;3672	0	0	0	0	0	300	5	9	639	4	100	635	20	100							\settings\droprate\npcdropratecj082.ini	10	70	10680	10680	1	2			\settings\npc\boss_setting\≤ÿΩ£∏Û◊‹π‹70.ini						
TÊng qu∂n Tµng Ki’m80	0	0	0	6284000	20	3	10	10	64400	≤ÿΩ£∏Û◊‹π‹80	ø’ ÷	3000	100	80	3500;3772	3500;3772	0	0	0	0	0	300	5	9	639	4	100	635	20	100							\settings\droprate\npcdropratecj083.ini	10	80	10680	10680	1	2			\settings\npc\boss_setting\≤ÿΩ£∏Û◊‹π‹80.ini						
TÊng qu∂n Tµng Ki’m90	0	0	0	7584000	20	3	10	10	64400	≤ÿΩ£∏Û◊‹π‹90	ø’ ÷	3000	100	80	3600;3800	3600;3800	0	0	0	0	0	300	5	9	639	5	100	635	20	100							\settings\droprate\npcdropratecj084.ini	10	90	10680	10680	1	2			\settings\npc\boss_setting\≤ÿΩ£∏Û◊‹π‹90.ini						
Th≠ Sinh30	0	0	0	80136	8	17	10	10	64400	¬‰∆« È…˙30	ø’ ÷	2000	100	80	600;680	600;680	0	0	0	0	0	300	5	9	701	2	100	610	15	10	612	11	10	623	11	10	\settings\droprate\npcdropratecj085.ini	1	30	762	762	18	0									
Th≠ Sinh40	0	0	0	82096	8	17	10	10	64400	¬‰∆« È…˙40	ø’ ÷	2000	100	80	780;868	780;868	0	0	0	0	0	300	5	9	701	2	100	610	15	10	612	11	10	623	11	10	\settings\droprate\npcdropratecj086.ini	1	40	1068	1068	18										
Th≠ Sinh50	0	0	0	84196	8	17	10	10	64400	¬‰∆« È…˙50	ø’ ÷	2000	100	80	1080;1168	1080;1168	0	0	0	0	0	300	5	9	701	2	100	610	15	10	612	11	10	623	11	10	\settings\droprate\npcdropratecj087.ini	1	50	1068	1068	18										
