T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ  (1-10 m«n ph¸i, 10 c¶ bé trang bŞ)	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	
Four Symbols Dharma Robe	0	100	1422	80	15000	0	250	18;30					14022	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	¿ıÎàÄĞÇû¸É007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	14	0						
Four Symbols Dharma Robe	0	100	1423	80	15000	0	250	18;30					14023	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	14	0						
Four Symbols Dharma Robe	0	100	1424	80	15000	0	250	18;30					14024	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	½¿Ğ¡Å®Çû¸É014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	14	0						
Four Symbols Dharma Robe	0	100	14219	80	0	0	250	18;30					914021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	±ê×¼ÄĞÇû¸É018	§· khãa		9	2	1	14	0						
Four Symbols Dharma Robe	0	100	14229	80	0	0	250	18;30					914022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	¿ıÎàÄĞÇû¸É007	§· khãa		9	2	1	14	0						
Four Symbols Dharma Robe	0	100	14239	80	0	0	250	18;30					914023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa		9	2	1	14	0						
Four Symbols Dharma Robe	0	100	14249	80	0	0	250	18;30					914024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	½¿Ğ¡Å®Çû¸É014	§· khãa		9	2	1	14	0						
Qing Feng gown	0	100	1501	50	2	0	150	16;16					15001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang tôc gia khi luyÖn Bót  ph¸p.	±ê×¼ÄĞÇû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	15	0						
Qing Feng gown	0	100	1502	50	2	0	150	16;16					15002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_002a1.spr	\image\item\cloth\man2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang tôc gia khi luyÖn Bót  ph¸p.	¿ıÎàÄĞÇû¸É001	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	15	0						
Qing Feng gown	0	100	1503	50	2	0	150	16;16					15003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_002a1.spr	\image\item\cloth\fm1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang tôc gia khi luyÖn Bót  ph¸p.	ĞÔ¸ĞÅ®Çû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	15	0						
Qing Feng gown	0	100	1504	50	2	0	150	16;16					15004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_002a1.spr	\image\item\cloth\fm2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang tôc gia khi luyÖn Bót  ph¸p.	½¿Ğ¡Å®Çû¸É005	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	15	0						
ThiÓu D­¬ng Th­êng	0	100	1511	60	5000	0	200	20;20					15011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_008a1.spr	\image\item\cloth\man1_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn Néi c«ng.	±ê×¼ÄĞÇû¸É010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	15	0						
ThiÓu D­¬ng Th­êng	0	100	1512	60	5000	0	200	20;20					15012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_008a1.spr	\image\item\cloth\man2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn Néi c«ng.	¿ıÎàÄĞÇû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	15	0						
ThiÓu D­¬ng Th­êng	0	100	1513	60	5000	0	200	20;20					15013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_016a1.spr	\image\item\cloth\fm1_arm_016a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn Néi c«ng.	ĞÔ¸ĞÅ®Çû¸É030	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	15	0						
ThiÓu D­¬ng Th­êng	0	100	1514	60	5000	0	200	20;20					15014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_008a1.spr	\image\item\cloth\fm2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn Néi c«ng.	½¿Ğ¡Å®Çû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	15	0						
Linh Phong phôc	0	100	1521	80	15000	0	250	25;25					15021	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	±ê×¼ÄĞÇû¸É018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0						
Linh Phong phôc	0	100	1522	80	15000	0	250	25;25					15022	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	¿ıÎàÄĞÇû¸É007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0						
Linh Phong phôc	0	100	1523	80	15000	0	250	25;25					15023	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0						
Linh Phong phôc	0	100	1524	80	15000	0	250	25;25					15024	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	½¿Ğ¡Å®Çû¸É014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0						
Linh Phong phôc	0	100	15219	80	0	0	250	25;25					915021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	±ê×¼ÄĞÇû¸É018	§· khãa		9	2	1	15	0						
Linh Phong phôc	0	100	15229	80	0	0	250	25;25					915022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	¿ıÎàÄĞÇû¸É007	§· khãa		9	2	1	15	0						
Linh Phong phôc	0	100	15239	80	0	0	250	25;25					915023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa		9	2	1	15	0						
Linh Phong phôc	0	100	15249	80	0	0	250	25;25					915024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	½¿Ğ¡Å®Çû¸É014	§· khãa		9	2	1	15	0						
Light Cavalry armor	0	100	1701	50	2	0	150	12;18					17001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi tËp luyÖn.	±ê×¼ÄĞÇû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	17	0						
Light Cavalry armor	0	100	1702	50	2	0	150	12;18					17002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_002a1.spr	\image\item\cloth\man2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi tËp luyÖn.	¿ıÎàÄĞÇû¸É001	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	17	0						
Light Cavalry armor	0	100	1703	50	2	0	150	12;18					17003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_002a1.spr	\image\item\cloth\fm1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi tËp luyÖn.	ĞÔ¸ĞÅ®Çû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	17	0						
Light Cavalry armor	0	100	1704	50	2	0	150	12;18					17004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_002a1.spr	\image\item\cloth\fm2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi tËp luyÖn.	½¿Ğ¡Å®Çû¸É005	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	17	0						
HiÖu óy thiÕt gi¸p	0	100	1711	60	5000	0	200	15;24					17011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_008a1.spr	\image\item\cloth\man1_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng hiÖu óy.	±ê×¼ÄĞÇû¸É010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	17	0						
HiÖu óy thiÕt gi¸p	0	100	1712	60	5000	0	200	15;24					17012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_008a1.spr	\image\item\cloth\man2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng hiÖu óy.	¿ıÎàÄĞÇû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	17	0						
HiÖu óy thiÕt gi¸p	0	100	1713	60	5000	0	200	15;24					17013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_016a1.spr	\image\item\cloth\fm1_arm_016a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng hiÖu óy.	ĞÔ¸ĞÅ®Çû¸É030	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	17	0						
HiÖu óy thiÕt gi¸p	0	100	1714	60	5000	0	200	15;24					17014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_008a1.spr	\image\item\cloth\fm2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng hiÖu óy.	½¿Ğ¡Å®Çû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	17	0						
Essence Armor	0	100	1721	80	15000	0	250	18;30					17021	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	±ê×¼ÄĞÇû¸É018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	17	0						
Essence Armor	0	100	1722	80	15000	0	250	18;30					17022	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	¿ıÎàÄĞÇû¸É007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	17	0						
Essence Armor	0	100	1723	80	15000	0	250	18;30					17023	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	17	0						
Essence Armor	0	100	1724	80	15000	0	250	18;30					17024	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	½¿Ğ¡Å®Çû¸É014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	17	0						
Essence Armor	0	100	17219	80	0	0	250	18;30					917021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	±ê×¼ÄĞÇû¸É018	§· khãa		9	2	1	17	0						
Essence Armor	0	100	17229	80	0	0	250	18;30					917022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	¿ıÎàÄĞÇû¸É007	§· khãa		9	2	1	17	0						
Essence Armor	0	100	17239	80	0	0	250	18;30					917023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	ĞÔ¸ĞÅ®Çû¸É036	§· khãa		9	2	1	17	0						
Essence Armor	0	100	17249	80	0	0	250	18;30					917024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	½¿Ğ¡Å®Çû¸É014	§· khãa		9	2	1	17	0						
Crossbow guard armor	0	100	1801	50	2	0	150	12;18					18001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	Trang phôc cña ®Ö tö D­¬ng M«n khi luyÖn Cung	±ê×¼ÄĞÇû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	18	0						
Crossbow guard armor	0	100	1802	50	2	0	150	12;18					18002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_002a1.spr	\image\item\cloth\man2_arm_002a0.spr	Trang phôc cña ®Ö tö D­¬ng M«n khi luyÖn Cung	¿ıÎàÄĞÇû¸É001	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	18	0						
Crossbow guard armor	0	100	1803	50	2	0	150	12;18					18003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_002a1.spr	\image\item\cloth\fm1_arm_002a0.spr	Trang phôc cña ®Ö tö D­¬ng M«n khi luyÖn Cung	ĞÔ¸ĞÅ®Çû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	18	0						
Crossbow guard armor	0	100	1804	50	2	0	150	12;18					18004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_002a1.spr	\image\item\cloth\fm2_arm_002a0.spr	Trang phôc cña ®Ö tö D­¬ng M«n khi luyÖn Cung	½¿Ğ¡Å®Çû¸É005	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	18	0						
§« óy thiÕt gi¸p	0	100	1811	60	5000	0	200	15;24					18011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_008a1.spr	\image\item\cloth\man1_arm_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi ®­îc th¨ng §« óy	±ê×¼ÄĞÇû¸É010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	18	0						
§« óy thiÕt gi¸p	0	100	1812	60	5000	0	200	15;24					18012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_008a1.spr	\image\item\cloth\man2_arm_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi ®­îc th¨ng §« óy	¿ıÎàÄĞÇû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	18	0						
§« óy thiÕt gi¸p	0	100	1813	60	5000	0	200	15;24					18013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_016a1.spr	\image\item\cloth\fm1_arm_016a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi ®­îc th¨ng §« óy	ĞÔ¸ĞÅ®Çû¸É030	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	18	0						
§« óy thiÕt gi¸p	0	100	1814	60	5000	0	200	15;24					18014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_008a1.spr	\image\item\cloth\fm2_arm_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi ®­îc th¨ng §« óy	½¿Ğ¡Å®Çû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	18	0						
Awe-Rousing General Armor	0	100	1821	80	15000	0	250	18;30					18021	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	±ê×¼ÄĞÇû¸É018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	18	0						
Awe-Rousing General Armor	0	100	1822	80	15000	0	250	18;30					18022	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	¿ıÎàÄĞÇû¸É007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	18	0						
Awe-Rousing General Armor	0	100	1823	80	15000	0	250	18;30					18023	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	ĞÔ¸ĞÅ®Çû¸É036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	18	0						
Awe-Rousing General Armor	0	100	1824	80	15000	0	250	18;30					18024	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	½¿Ğ¡Å®Çû¸É014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	18	0						
Awe-Rousing General Armor	0	100	18219	80	0	0	250	18;30					918021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	±ê×¼ÄĞÇû¸É018	§· khãa		9	2	1	18	0						
Awe-Rousing General Armor	0	100	18229	80	0	0	250	18;30					918022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	¿ıÎàÄĞÇû¸É007	§· khãa		9	2	1	18	0						
Awe-Rousing General Armor	0	100	18239	80	0	0	250	18;30					918023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	ĞÔ¸ĞÅ®Çû¸É036	§· khãa		9	2	1	18	0						
Awe-Rousing General Armor	0	100	18249	80	0	0	250	18;30					918024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	½¿Ğ¡Å®Çû¸É014	§· khãa		9	2	1	18	0						
Duo Po robe	0	100	2001	50	2	0	150	16;16					20001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp ph¸i Ngò §éc.	±ê×¼ÄĞÇû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	20	0						
Duo Po robe	0	100	2002	50	2	0	150	16;16					20002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_002a1.spr	\image\item\cloth\man2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp ph¸i Ngò §éc.	¿ıÎàÄĞÇû¸É001	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	20	0						
Duo Po robe	0	100	2003	50	2	0	150	16;16					20003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm1_arm_002a1.spr	\image\item\cloth\fm1_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp ph¸i Ngò §éc.	ĞÔ¸ĞÅ®Çû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	20	0						
Duo Po robe	0	100	2004	50	2	0	150	16;16					20004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\fm2_arm_002a1.spr	\image\item\cloth\fm2_arm_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp ph¸i Ngò §éc.	½¿Ğ¡Å®Çû¸É005	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	0	1	20	0						
Th«i MÖnh y	0	100	2011	60	5000	0	200	20;20					20011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_008a1.spr	\image\item\cloth\man1_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Ngò §éc khi luyÖn ®éc, bªn trong cã tÈm kŞch ®éc.	±ê×¼ÄĞÇû¸É010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	20	0						
Th«i MÖnh y	0	100	2012	60	5000	0	200	20;20					20012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_008a1.spr	\image\item\cloth\man2_arm_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Ngò §éc khi luyÖn ®éc, bªn trong cã tÈm kŞch ®éc.	¿ıÎàÄĞÇû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	20	0						
